,description,snippet.requirement,snippet.responsibility
0,"Arival is an early-stage digital banking startup founded by award-winning
fintech venture capitalists & entrepreneurs. After recently closing our Pre-
Series A round - we're now gearing up to officially launch this summer. We're
actively growing our team and opening various internal departments from the
ground up.

We’re a team of hungry entrepreneurs with big dreams, gritty fintech experts,
bankers with a modern mentality, and top-ranked venture capitalists joined on
a mission to bring cutting-edge banking services to underbanked businesses and
entrepreneurs across the world. The Arival family is diverse, authentically
imperfect, and all about fintech. In every way, we embrace the startup
mentality.

**With offices already in Singapore, Puerto Rico & Miami, and soon Vilnius -
we’re ready to take the digital banking world by storm. Are you?**

The **Design Director** will be responsible for setting, overseeing, and
maintaining the brand’s overall design look and feel. We are seeking an
independent minded and highly competitive candidate who is adept at swiftly
handling change in a constantly evolving industry. A successful candidate will
not only have brilliant design skills, they’ll be a clear communicator, a
strategic thinker, an inspiring leader, and a proactive resource across the
business, adept at overseeing a high-volume of assignments day-to-day while
also thinking about how to attack big picture problems down the road.

**EVERYDAY TASKS:**

  * Operate as Arival Bank’’s lead brand designer, ensuring that all iterations of the brand maintain a close connection to our design style guide and that we maintain a consistent design voice across every platform and consumer touchpoint, from stills to motion

  * Ensure design deliverables for internal and external usage are delivered to key stakeholders with a high level of accuracy, industry-leading design solutions, and best-in-class execution

  * Help design and execute multi platform campaigns for Arival’s brand marketing initiatives, including custom shoot content, toolkits, logos, packaging, key art, etc.

  * Work with product & marketing partners on design needs/assets

  * Coordinate with our internal teams on initiatives to create cultural currency and conversation, and drive customer acquisition, engagement, and retention

  * Help maintain and update our brand style guide and toolkit

  * Help design and create assets for stunts and events

**DESIRED QUALIFICATIONS:**

  * Degree or training in graphic/communication design

  * 6+ years of design work experience; entertainment, digital media and/or direct-to-consumer experience preferred

  * Must be fully versed in standard graphic design software programs, with working knowledge of motion-design tools

  * Must have a portfolio of prior work for review

  * Ability to work in a fast paced and entrepreneurial culture

  * Excellent presentation skills

","Must be fully versed in standard graphic design software programs, with
working knowledge of motion-design tools. Must have a...

","...maintain a consistent design voice across every platform and consumer
touchpoint, from stills to motion. Ensure design deliverables for internal...

"
0,"

Привет!

Если ты любишь моушн дизайн, умеешь создавать эффектные, качественные
композиции и хочешь работать в молодой команде, профессионально расти и
развиваться в IT – тебе к нам!

Мы ищем самостоятельного и продуктивного человека, способного генерировать
крутые идеи в рамках поставленных задач и воплощать их в реальность, адекватно
принимающего конструктивную критику, ответственно относящегося к выполнению
задач, соблюдению требований и сроков.

**Обязанности:**

– Создание анимаций разного уровня сложности:

Преролы, сторис для Instagram, заставки, анимированные баннеры, ролики,
инфографика и др. контент для социальных сетей

– Анимация статичных изображений (баннеры, мелкие композиции, иконки и пр.)

– Рутинные задачи:

Добавление промокодов на роклики, адаптация под формат

– Соблюдение фирменного стиля и заданного тз

– Самостоятельная разработка крутых идей и дизайна для контента, инициатива по
улучшению имеющихся решений

– Активное взаимодействие с командой

**Требования:**

– Опыт работы не менее 2 – 3 лет

– Наличие портфолио (обязательно)

– Владение

Adobe After Effect, Adobe Premiere, Adobe Photoshop, Adobe Illustrator, Cinema
4D

– Знание основ композиции, типографики и работы с цветом

– Понимание трендов в анимации и тенденций в рекламе (социальные сети)

– Навыки отрисовки скетчей и раскадровки, уметь грамотно доносить свои мысли

– Опыт создания сложной анимации из статичных объектов

– Соблюдение дедлайнов

– Чувство стиля и хороший вкус, креативное мышление

– Адекватная реакция на критику и миллион правок

– Также нам крайне важны следующие качества

Ответственность, самостоятельность, коммуникабельность, инициативность,
внимательность

– И конечно же искреннее стремление создавать крутой контент, развиваться и
профессионально расти!

**Основные условия:**

  * Работа не удаленная, нужно приезжать в офис

  * Гибкий график: 5/2 с 12:00 до 20:00 (с возможностью корректировки)

  * Рабочие места оборудованы отличной техникой

  * Точный размер заработной платы будет определяться индивидуально для каждого кандидата по результатам собеседования в зависимости от уровня компетенций и объективного опыта.

  * Находимся в Санкт-Петербурге, в пешей доступности от метро, в уютном и просторном офисе в бизнес-центре A класса

  * Большая кухня, чай, кофе, печеньки и другие ништяки ;)

ВАЖНО! До этапа собеседования предусмотрено тестовое задание:)

","Опыт работы не менее 2 – 3 лет. – Наличие портфолио (обязательно). – Владение.
Adobe After Effect, Adobe Premiere, Adobe Photoshop, Adobe Illustrator...

","Соблюдение фирменного стиля и заданного тз. – Самостоятельная разработка
крутых идей и дизайна для контента, инициатива по улучшению имеющихся решений.
–

"
0,"

Мы ищем человека в команду видео продакшена, играющую крайне важную роль в
бизнесе компании: мы создаем ролики для игр, которых еще нет и проверяем таким
образом интерес аудитории к проектам, не тратя долгие месяцы на его
разработку. Команда состоит из молодых креативных специалистов, каждый из
которых нацелен на достижение максимального качества и постоянный
профессиональный рост.

**Что вы будете делать** :

  * Участие в создании роликов по выпущенным проектам или проектам в разработке
  * 2D и 3D анимация
  * Композинг и цветокоррекция
  * Эффекты

**Что вы должны знать:**

  * Профессиональное владение одним из 3D редакторов: Maya, Blender, Cinema4D
  * Профессиональное владение: Photoshop, AfterEffects
  * Опыт работы с Illustrator, Premier, Substance Painter, Аudition будет плюсом
  * Умение рисовать от руки и работать с кривыми - большой плюс

**Что для нас важно:**

  * Вы постоянно развиваете свой творческий кругозор и вкус как в плане софта, так и в плане потребляемого контента (игры, фильмы, лекции)
  * Чувствуете ритм, понимаете композицию, знает как правильно выбирать цвета
  * Любите процесс анимирования (оживления) и постоянно стараетесь улучшить свой скилл в этом деле
  * Видите для себя челенджи в казалось бы рутинных задачах и при необходимости создаете их самостоятельно

**Что мы предлагаем:**

  * Достойная белая заработная плата;
  * Комфортное рабочее место со всем необходимым;
  * Отдельное пространство каждого проекта и общая кухня с едой;
  * Бесплатный английский: с учебниками и с native speaker;
  * Занятия спортом: фитнес по утрам и оплата 50% абонемента;
  * Забота о здоровье: частичная компенсация ДМС;
  * Бюджет на обучение и посещение конференций;
  * Все это (и даже больше) в уютном офисе в З-х мин от м. Автозаводская.
  * Возможна удаленная работа

ВАЖНО: к данной вакансии есть тестовое задание

","Профессиональное владение одним из 3D редакторов: Maya, Blender, Cinema4D.
Профессиональное владение: Photoshop, AfterEffects. Опыт работы с
Illustrator...

","Участие в создании роликов по выпущенным проектам или проектам в разработке.
2D и 3D анимация. Композинг и цветокоррекция.

"
0,"

Motionads — креативная студия , специализирующаяся на создании креативов для
мобильной рекламы. Мы владеем большой экспертизой в мобильном маркетинге, что
помогает нам придумывать и создавать видео\ баннеры \ playable ads с высокой
результатив­ностью!  
  
Каждый день мы создаем десятки рекламных кампаний для игровых продуктов.
Десятки рекламных кампаний - это сотни рекламных материалов, так что будьте
уверены, вам будет где развернуться :) В генерировании новых идей принимает
участие вся команда, мы регулярно проводим брейнштормы, инициатива каждого
участника очень важна!) У нас очень круто настроена система постановки задач,
и фидбэка , что позволяет нам делать 150 уникальных креативов в месяц.

В нашей команде уже работает более 20 дизайнеров и художников, часть из
которых инхаус в Санкт-Петербурге, а часть аутсорс исполнители из России,
Украины, Белоруссии.

Мы ждем, что ты уверенно работаешь в **After Effects, Photoshop** , владеешь
навыками 2D персонажной анимации ( **Duik, Spine** , др.), у тебя есть
**умение работать со звуком** и ты умеешь грамотно и эффективно использовать
**готовые шаблоны.**

**Мы предлагаем:**

  * Быстрый карьерный и профессиональный рост! (Некоторые дизайнеры уходят в продуктовые команды создавать анимации для игр)

  * Удобный график с плавающим началом рабочего дня, в офисе необходимо быть до 12.00.

  * Помощь с переездом для кандидатов.

  * Корпоративную библиотеку, посещение семинаров и конференций за счет компании по согласованию.

  * Бесплатное корпоративное питание в нашем вкуснейшем ресторане прямо в офисе

  * Пятничные тематические вечеринки и веселые корпоративные выезды.

  * Спортивные ивенты и крутые корпоративы.

  * Просторный двухэтажный офис на Петрограде. с современной техникой, PS4, автосимулятор, душ и кафе.

**Если тебе нравятся наши работы, близки наши ценности, ты обладаешь скиллами,
которые описаны в вакансии - смело откликайся! Мы будем рады познакомиться!
;)**

**_Важно! При отклике прикрепляйте, пожалуйста, ссылку на портфолио._**

","Мы ждем, что ты уверенно работаешь в After Effects, Photoshop, владеешь
навыками 2D персонажной анимации (Duik, Spine, др.), у...

",
0,"

Мы в **Wargaming** ******St.Petersburg** разрабатываем игры с мировым именем,
в их числе и широко известный ММО-проект World of Warships, собирающий
миллионы игроков на просторах виртуальных морей. Наш отдел видеопроизводства
делает синематики, Full CG и комбинированные ролики, посвященные нашим играм и
жизни компании. Тематика самая разнообразная - обзоры обновлений, обучающие,
документальные и развлекательные видео, стримы и предыстории игровых событий –
все это мы делаем сами. От сценария до сведения звука, через съемку, монтаж и
спецэфекты. Проектов много, идет активная работа над новыми играми, поэтому мы
расширяем нашу команду и приглашаем к ней присоединиться **Моушен дизайнера**.

****Обязанности:****

  * Производство видеоконтента: графическое оформление роликов, инфографика (2D, 3D), анимация, визуализация, создание шапок, заставок и титров различной сложности
  * Создание логотипов
  * Участие в работе креативной команды на этапе разработки идеи
  * Разработка и практическая реализация художественных концепций и анимированной компьютерной графики
  * Участие в съемочном процессе
  * Отслеживание новинок в области программного обеспечения, технологий, приемов работы.

****Требования:****

  * Опыт композитинга, знание теории монтажа и основ режиссуры, понимание технических и художественных принципов создания CG
  * Профессиональное владение графическими пакетами 2d- и 3 d-дизайна: Adobe After Effects, Adobe Photoshop‚ Adobe Illustrator, Adobe Premiere Pro, Cinema 4D (базовый моделинг, шейдинг, свет, анимация, рендер)
  * Представление о видео дизайне, и основных мировых тенденциях в этом направлении
  * Развитое чувство стиля, визуального мышления, сформированный вкус
  * Осведомленность о последних трендах на рынке моушен графики
  * Наличие сильного портфолио.

**Будет плюсом:**

  * Художественное образование
  * Умение рисовать скетчи, раскадровки.

**Семь фактов о нас:**

  * Создаем уникальные проекты, в которые играют 180+ млн. человек на всех континентах, кроме Антарктиды, в отличном коллективе профессионалов;
  * Профессионально растем и развиваемся: регулярно проводим семинары, тренинги, отправляем сотрудников на профессиональные конференции, курсы английского языка;
  * Комфортно работаем: бизнес-центр недалеко от м. Ладожская, дополнительные мониторы, мощное железо;
  * Вкусно кормим: на каждом этаже есть кухня, где всегда можно найти фрукты, чай, кофе и, конечно, печеньки; для тех кто приходит рано утром и задерживается на работе - предусмотрены завтраки и ужины;
  * Приятно отдыхаем: большие лаунж-зоны, массажные кресла, игровые приставки, настольный теннис;
  * Заботимся о здоровье: предоставляем расширенный полис ДМС; фиксированный рабочий день с 9.30 до 18.30
  * Занимаемся спортом: бесплатный тренажерный зал в офисе, льготные абонементы в фитнес-клуб

","Профессиональное владение графическими пакетами 2d- и 3 d-дизайна: Adobe After
Effects, Adobe Photoshop‚ Adobe Illustrator, Adobe Premiere Pro...

","Производство видеоконтента: графическое оформление роликов, инфографика (2D,
3D), анимация, визуализация, создание шапок, заставок и титров различной
сложности.

"
0,"

**Студия Кефир — российский разработчик компьютерных игр, известный своими
хитами Last Day on Earth, Grim Soul, Тюряга, Метро 2033 с общей аудиторией
более 280 миллионов игроков. Сейчас для работы над успешными мобильными
проектами мы ищем в команду Видеохудожника.**

**Вы — наш человек, если у вас есть:**

  * Опыт работы с игровыми движками 

  * Опыт композитинга и создания эффектов в Adobe After Effects

  * Навыки монтажа в Adobe Premiere Pro

  * Знание Adobe Photoshop

  * Креативность

  * Портфолио (идеально, если showreel)

**Значительным преимуществом будет:**

  * Понимание работы движка Unity

  * Опыт 3D и 2D-анимации

  * Опыт анимации игровых спецэффектов, в том числе на основе партиклов

  * Опыт анимации элементов локаций и интерфейса

  * Интерес к играм, рекламе

**Задачи, которые ждут вас:**

  * Создание рекламных роликов и видеоматериалов для игровых проектов студии

  * Подготовка графики для анимации

**Мы предлагаем:**

  * Возможность стать частью неравнодушной и творческой команды

  * Разнообразные и интересные задачи с заметным вкладом в проект

  * Лояльный график работы, подходящий и совам и жаворонкам

  * Оформление полностью по ТК РФ

  * Вкусные обеды

  * Комфортный офис-лофт в центре Петербурга

  * Обучение и повышение квалификации

  * Рисунок с натуры в студии 2 раза в неделю

","Опыт работы с игровыми движками. Опыт композитинга и создания эффектов в Adobe
After Effects. Навыки монтажа в Adobe Premiere Pro.

","Создание рекламных роликов и видеоматериалов для игровых проектов студии.
Подготовка графики для анимации.

"
0,"

В один из крупнейших **Fintech** проектов мы ищем Моушн-Дизайнера.

Проект включает в себя свою финансовую платформу и несколько приложений,
обеспечивающих клиентов аналитикой в реальном времени. Проекту уже более 5
лет, он функционирует в условиях постоянных интенсивных нагрузок, спектр
возникающих задач широкий и чертовски сложный.  
У нас драйвовая IT-атмосфера, мы оцениваем сотрудников по вкладу и результату
в проект, у нас нет формализма, бюрократии и прокрастинации. Мы постоянно
учимся, развиваемся, ставим амбициозные задачи и выполняем их, не боимся брать
ответственность и экспериментируем.

**Обязанности:**

Создание анимации, видеороликов и других материалов для размещения в рекламных
сетях (Facebook, Instagram, Google AdWords и др.):

  * Создание анимированных заставок;
  * Создание графики разного уровня сложности для видео и анимационных роликов с соблюдением фирменного стиля;
  * Разработка дизайна видеоконтента;
  * Редактирование роликов по требованию рекламных партнеров и социальных сетей.

**Требования:**

  * Опыт работы моушн-дизайнером от 2-х лет;
  * Наличие портфолио - обязательно;
  * Уверенное владение программами по созданию видео и анимации Adobe After Effects, Adobe Premiere;
  * Уверенное владение графическими редакторами (Adobe Photoshop, Adobe Illustrator и т.д.);
  * Понимание основ композиции, художественный вкус;
  * Понимание основных метрик эффективности работы креатива;
  * Высокая скорость работы, внимательность, самостоятельность;
  * Креативность и умение работать в команде;
  * Готовность выполнить тестовое задание.

**Условия:**

  * Оформление по ТК РФ, «белая» заработная плата;

  * Гибкое начало рабочего дня (с 9 до 11), 5/2;

  * «Свободный» дресс-код;

  * ДМС с возможностью прикрепить родственников к нашей программе;

  * Доплата больничного до оклада (любое количество дней);

  * 28 дней отпуска + дополнительные выходные дни ""day off"";

  * Возможность несколько дней работать удаленно;

  * Корпоративная йога, кроссфит и частичная компенсация занятий спортом;

  * Обучение за счет компании: корпоративный английский + финансирование курсов/семинаров/тренингов;

  * Корпоративные завтраки, чай-кофе-сладости, кикер и playstation, шахматы и пуфики.

","Опыт работы моушн-дизайнером от 2-х лет. Наличие портфолио - обязательно.
Уверенное владение программами по созданию видео и анимации Adobe...

","Создание графики разного уровня сложности для видео и анимационных роликов с
соблюдением фирменного стиля. Разработка дизайна видеоконтента. Редактирование
роликов по...

"
0,"

 **Apalon** \- лидер среди компаний-разработчиков мобильных приложений с одним
из самых широких портфолио в мире и с аудиторией более **40 млн** активных
пользователей **в месяц**.

Главная миссия нашей компании - при помощи продуктов Apalon, мы делаем жизни
людей проще и ярче, предлагая передовые решения и лучший пользовательский
опыт. Именно поэтому наши приложения занимают топовые позиции в сторах,
получают награды мирового уровня как **Google Play Award, Webby Awards** и
популярны среди пользователей. Более того, наша компания постоянно входит в
топ 10 (не включая game dev) по количеству скачиваний в App Store, Google Play
и др. (по данным AppAnnie).  
В нашем портфолио такие бестселлеры как Weather Live, Productive, Coloring
Book For Me, Good Morning Alarm Clock, SnapCalc.

**На данный момент мы в поисках Motion Design, который присоединится к нашей
команде.**

**Требования:**

  * опыт работы с пост-продакшном от 2 лет;
  * знание композиции, типографики и творческое мышление;
  * опыт работы с Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Adobe Premiere Pro;
  * опыт работы с плагинами After Effects от компаний Video Copilot и Red Giant;
  * интерес к методам и приёмам обработки видео и создания анимации;
  * наличие портфолио (с видео-роликами);
  * стремление к саморазвитию, постоянное достижение новых навыков, R&D;
  * английский язык не ниже Pre-intermediate.

**Обязанности:**

  * оценка объема работы;
  * выявление потенциальных проблем и своевременное информирование руководителя;
  * работа с отснятыми видео-материалами;
  * монтаж, трекинг, кеинг, клинап, цветокоррекция;
  * создание моушн-графики в 2D и 3D
  * документирование аспектов по проектам;
  * эффективное выполнение задач в условиях ограниченного времени;
  * работа в кооперации с маркетинг менеджером.

**Что мы предлагаем:**

  * работу над лидирующими на рынке продуктами в команде профессионалов;
  * высокую зарплату (расширенная система премий и бонусы за проекты);
  * повышение профессионального уровня - участие в конференциях и семинарах в стране и за рубежом, сертификации за счет компании, внутреннее обучение;
  * бенефиты - внутренние курсы английского языка, оплата спорта, паркинга, медицинская страховка, подарки от компании на значимые события;
  * комфортные условия работы и отдыха - офис в центре города, современная техника, интересные корпоративные мероприятия.

","Опыт работы с пост-продакшном от 2 лет. Знание композиции, типографики и
творческое мышление. Опыт работы с Adobe Photoshop, Adobe...

","Оценка объема работы. Выявление потенциальных проблем и своевременное
информирование руководителя. Работа с отснятыми видео-материалами. Монтаж,
трекинг, кеинг, клинап, цветокоррекция.

"
0,"

В команду креативных людей, которые создают развлекательные видео для
платформы **YouTube** ищем **Middle/Senior Motion Designer’a.** Если вы
профессионал своего дела и готовы реализовывать много интересных задач, мы с
удовольствием рассмотрим вашу кандидатуру.

**О ваших навыках:**

  * опыт работы в сфере Motion-design’a от 2-х лет
  * опыт в создании спецэффектов
  * уверенное знание Adobe After Effects
  * опыт работы с ключевыми плагинами и скриптами (Element 3d, Trapcode, Motion 2.0)
  * понимание принципов ритма и тайминга в анимации
  * владение программами 2D графики (Adobe IIIustrator, Adobe Photoshop)
  * владение навыками создания шейповой анимации

**По задачам:**

  * монтаж, анимация, композитинг, рендеринг
  * работа с готовыми видео файлами, создание и подготовка графических, фото и видео материалов, создание визуального стиля
  * соблюдение дедлайнов

**Плюсом будет:**

  * владение навыками видеомонтажа, обработки видео и аудио, цветокоррекции
  * знание любого 3D пакета

**Мы предлагаем:**

  * классный офис в центре города
  * молодой коллектив
  * работу full time (график гибкий, 5/2)
  * оборудованное рабочее место
  * зарплатные ожидания обсуждаются лично

**Ждем ваше ПОРТФОЛИО и сопроводительное письмо** , без них резюме
рассматриваться не будут. Будьте готовы к выполнению тестового задания.

","Опыт работы в сфере Motion-design’a от 2-х лет. Опыт в создании спецэффектов.
Уверенное знание Adobe After Effects.

","Монтаж, анимация, композитинг, рендеринг. Работа с готовыми видео файлами,
создание и подготовка графических, фото и видео материалов, создание
визуального стиля.

"
0,"

К **то мы?**

Сегодня **Appyfurious** \- это команда влюбленных в свое дело профессионалов,
сосредоточенных на запуске и продвижении новой казуальной игры **Bounceville**
с богатым геймплеем и анимацией на уровне Disney и Pixar!

Мы **гордимся нашей командой** , т.к. собрали приверженных делу
профессионалов, и вместе с этим интеллигентных и творческих людей,
объединенных общими целями и ценностями. Мы даем членам нашей команды
практически неограниченную свободу по части творчества. Главное, чтобы вы
могли обосновать свою точку зрения.

Приглашаем в команду **Senior Motion Designer.**

**Важно! Вакансия подрозумевает обязательное выполнение тестового задания.**

**Что предстоит делать:**

  * взяв за основу идеи наших маркетологов создавать рекламные ролики с 2D и иногда с 3D анимацией
  * анимировать персонажей и окружение, придуманных художниками
  * чтобы наши ролики запомнились зрителю — дополнять их впечатляющими визуальными эффектами

**Что мы ожидаем от кандидата** :

  * ты хорошо владеешь After Effects и основными плагинами риггинга и VFX
  * знаешь IIIustrator и Photoshop — они понадобятся для подготовки и правки файлов
  * у тебя есть опыт работы в одной из программ 3D графики (в приоритете у нас Blender)
  * ты можешь положиться на свое чувство ритма, знание колористики и композиции
  * твой опыт работы в геймдеве насчитывает от 1 года — нам важно, чтобы ты включился в работу с первых дней
  * **а еще мы с нетерпением ждем ссылку на твое портфолио!**

**Почему с нами круто!**

  * Команда и продукт, которыми можно гордиться!
  * Возможность реализовать собственные идеи
  * Достойная зарплата с привязкой к курсу доллара
  * Новый комфортный офис (со всей необходимой техникой, столами с регулировкой высоты, эргономичными креслами, зоной отдыха, кухней и т.д.)
  * Закрытая парковка для сотрудников Appyfurious!
  * Мы любим решать всё быстро и без лишней бюрократии, всегда готовы помочь в достижении результатов
  * Добровольное страхование медицинских расходов
  * Компенсация занятий спортом/ фитнесом
  * Курсы английского языка в офисе
  * Гибкий график работы
  * 28 календарных дней отпуска
  * 100% оплата больничного листа
  * Компенсация профильного обучения и конференций.

","Знаешь IIIustrator и Photoshop — они понадобятся для подготовки и правки
файлов. У тебя есть опыт работы в одной из программ...

","Взяв за основу идеи наших маркетологов создавать рекламные ролики с 2D и
иногда с 3D анимацией.

"
